"","X685.2_CTRL","X697.3_CTRL","X697.1_CTRL","X468.4_CTRL","X468.4_LPS","X685.2_LPS","X697.3_LPS","X697.1_LPS","X685.1_CTRL","X697.5_CTRL","X697.2_CTRL","X468.6_CTRL","X697.5_LPS","X697.2_LPS","X685.1_LPS","X468.6_LPS","Gene_name"
"PIWIL2",11.5786470546038,24.9777335598546,9.95429390447709,21.9851310865684,41.3192016363151,33.2486148020259,16.3210304940352,19.0522879833792,16.2782945109413,28.8788647161254,17.1872564228745,26.4688486060888,18.1373938786379,21.7363221343826,16.6837292055597,13.8202344994802,"PIWIL2"
"PIWIL4",2.57303267880086,4.44048596619637,7.65714915729007,7.85183253091729,5.16490020453938,11.6370151807091,4.89630914821055,19.0522879833792,5.25106274546492,7.70103059096678,4.29681410571863,26.4688486060888,12.7451956985023,23.9099543478209,16.6837292055597,8.94250467613423,"PIWIL4"
"PJA1",1294.23543743683,1297.17696287511,1431.88689241324,1346.32755130129,1105.28864377143,1195.28770213283,1387.28759199299,1276.0386049356,1176.23805498414,945.301505041173,1118.46071171856,1049.93099470819,890.693099391487,797.723022331843,1134.16645403285,996.682793903688,"PJA1"
"PJA2",3575.22890719379,4601.45358247099,4325.52355895316,4369.28307570444,4049.28176035888,3250.88331226808,4008.44508933503,4175.23920806494,4330.55144618492,4191.28589913367,3833.18786371159,4587.93375838872,3855.42169879694,3334.3518154143,4146.3974054994,4567.18102459292,"PJA2"
"PKD1",5474.12702414882,7129.75527947404,7047.64008436978,5333.48811050109,5077.09690106221,4866.76599164654,6652.45202936873,6832.33634682012,3992.38300537698,3569.4276789131,3583.11328275877,4561.46490978263,3495.12482039697,3045.25873102701,3593.54441809948,4494.82803221329,"PKD1"
"PKD1L2",6.43258169700214,4.99554671197091,7.65714915729007,9.42219903710075,5.16490020453938,1.6624307401013,1.63210304940352,1.85875980325651,5.25106274546492,9.62628823870848,17.1872564228745,17.6458990707259,9.80399669115561,4.34726442687653,0.98139583562116,8.12954970557657,"PKD1L2"
"PKD1L3",20.5842614304068,29.9732802718255,17.6114430617672,31.9307856257303,30.9894012272363,20.7803842512662,6.52841219761406,28.8107769504759,19.4289321582202,34.6546376593505,24.0621589920243,79.4065458182663,28.921790238909,23.9099543478209,31.4046667398771,36.5829736750946,"PKD1L3"
"PKD2",3364.24022753212,2765.31263544879,4611.90093743581,2645.54410741707,2696.07790676956,2865.19938056458,2657.06376442892,4749.13129732039,2089.39786642049,2148.58753487973,2073.64248741981,2408.66522315408,2284.33122903926,2454.0307689718,2284.68950532606,2665.67934845856,"PKD2"
"PKD2L2",159.528026085653,140.43036868096,192.194443847981,191.061258252321,154.947006136182,166.24307401013,138.728759199299,237.921254816834,197.965065504028,209.853083603845,201.950262968776,167.636041171896,211.276128694403,249.9677045454,226.048174138074,199.173967786626,"PKD2L2"
"PKDCC",275.314496631691,209.257901157004,202.148737752458,242.359897454314,61.9788024544726,229.415442133979,173.002923236773,189.593499932164,359.697798064347,500.566988412841,472.64955162905,379.386830020606,737.75075100946,319.523935375425,422.98160515272,485.334117422921,"PKDCC"
"PKDREJ",36.022457503212,31.0834017633746,41.3486054493664,30.3604191195469,20.6596008181575,11.6370151807091,40.8025762350879,28.3460869996618,10.5021254909298,23.1030917729004,20.6247077074494,26.4688486060888,16.6667943749645,21.7363221343826,4.25271528769169,26.8275140284027,"PKDREJ"
"PKHD1",11.5786470546038,2.77530372887273,8.42286407301908,17.274031568018,15.4947006136182,5.81850759035454,9.7926182964211,4.64689950814128,8.92680666729037,15.4020611819336,7.30458397972168,17.6458990707259,8.33339718748227,10.8681610671913,13.7395416986962,13.0072795289225,"PKHD1"
"PKHD1L1",3319.2121556531,935.27735663011,1781.05289398567,2715.68714469326,2618.60440370147,3588.35675250865,807.89100945474,1349.45961716423,11643.1814255194,2552.89164090549,5314.72936736338,5196.71727632876,2195.11485914974,4868.93615810171,9486.49927905934,4582.62716903351,"PKHD1L1"
"PKIA",735.887346137045,797.067230932248,1163.88667190809,776.28450955669,537.149621272096,339.967086350715,616.934952674529,861.070478858579,833.343657705283,421.631424855431,656.553195353807,388.209779555969,327.943689319155,467.330925889227,587.528973591868,432.492044336674,"PKIA"
"PKIB",24.4438104486081,30.5283410176,19.9085878089542,88.4639798483348,30.9894012272363,4.15607685025324,6.52841219761406,8.82910906546843,123.399974518426,290.713904808996,377.260278482096,79.4065458182663,61.7651791542803,104.334346245037,27.1519514521854,13.8202344994802,"PKIB"
"PKIG",216.134745019272,232.01539173376,222.823040477141,316.690578746998,201.431107977036,243.54610342484,267.664900102177,217.939586931826,501.4764921919,423.556682503173,416.361286844135,511.73107305105,451.474047627716,352.128418576999,421.018813481478,571.507344302033,"PKIG"
"PKM",24172.3555009946,27457.7449719752,22008.9438227989,25396.490593501,23722.3866394494,26391.9192144781,27840.4138167252,21129.4520635184,20940.188016365,29446.8157222092,28361.5511862064,23892.5473417628,28173.7452913739,24664.204725884,20186.6580748368,22903.3803855209,"PKM"
"PKMYT1",159.528026085653,112.677331392233,122.514386516641,76.4245033009283,98.1331038862483,185.361027521294,102.822492112422,128.254426424699,98.7199796147406,69.309275318701,96.2486359680974,88.2294953536293,73.5299751836671,69.5562308300244,80.4744585209351,44.7125233806711,"PKMYT1"
"PKN1",1582.41509746253,1610.23122349196,1566.65271758155,1559.89739614224,1389.35815502109,1369.84292984347,1573.34733962499,1269.5329456242,1679.28986599968,1811.66744652494,2273.44434333573,1129.33754052645,1329.91215115526,1334.61017905109,1336.66112811602,1148.70537339797,"PKN1"
"PKN2",1882.17340454283,1838.3611900053,1984.73306156959,1848.84483327999,1781.89057056609,2090.50665567738,1929.14580439496,2172.89021000686,2222.7748601553,1730.80662531978,1889.30916228448,1667.53746218359,2186.2912621277,3130.0303873511,2832.30838160267,2129.94202286106,"PKN2"
"PKN3",257.303267880086,150.421462104902,205.977312331103,117.777487963759,46.4841018408545,238.558811204536,146.889274446316,176.117491358555,113.948061576589,154.020611819336,134.919962919565,61.7606467475405,103.922364926249,84.7716563240923,81.7829863017633,48.7772982334594,"PKN3"
"PKNOX1",593.084032463597,617.78261004707,615.634792246122,547.010999653905,568.139022499332,551.92700571363,566.33975814302,606.885075763251,453.691821208169,483.239669583166,454.173250974459,423.50157769742,559.808211064985,417.337384980147,475.322716385848,551.183470038092,"PKNOX1"
