"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Sh3pxd2a",11301.6692691627,-0.894831736610822,0.099662626624187,-8.97860880172363,2.74211879542273e-19,1.83047855089448e-16
"Eno3",910.565818771356,-2.74176093683303,0.305583449826395,-8.9722167165488,2.90605941538861e-19,1.86231911575764e-16
"Cnn1",6943.03397339185,-3.63064064085732,0.406864374853161,-8.92346655360925,4.51916262858272e-19,2.78467324894322e-16
"Tgfb2",961.664757500026,-1.58578942419484,0.178699486381941,-8.87405697857169,7.05284483302465e-19,4.18494915073659e-16
"Axin2",241.014817039866,3.56926736392585,0.406544955534904,8.77951457847915,1.6418171057301e-18,9.39412566103643e-16
"Gpr125",1386.41933598505,-1.09288268752416,0.126237862786145,-8.65732881881546,4.82948028452941e-18,2.66803805649812e-15
"Efemp2",4068.70407694144,-0.736854464515883,0.085181161324099,-8.65043928800506,5.13015675311034e-18,2.73967471138602e-15
"Mdga2",58.7393761407044,-2.22934069982596,0.25834900446012,-8.62918246766495,6.17920463973398e-18,3.1934528236509e-15
"Arf2",1286.9351862623,0.997187439127733,0.116166717023208,8.58410622836587,9.15453514510059e-18,4.58327523623926e-15
"Actg2",14632.5195200851,-3.9178008496154,0.459761038081005,-8.52138507857885,1.57656400509934e-17,7.42886233108719e-15
"Hspb6",462.101774090612,-1.60518595987966,0.188336472189855,-8.52296924337378,1.55514093760728e-17,7.42886233108719e-15
"Wisp2",255.676263441047,-3.27724887259077,0.388523263505201,-8.43514193467825,3.30801099484198e-17,1.51421840423895e-14
"Tpm2",10794.0979405858,-2.45217469460679,0.293612583375557,-8.35173570020407,6.72670505134196e-17,2.99357060076527e-14
"Abcg2",1044.71267268647,-0.881825368040217,0.105918826051901,-8.32548283350607,8.39857061063297e-17,3.63658107440408e-14
"Mcam",3379.72418276049,-2.61767842709454,0.315286503459074,-8.30253879685762,1.01909855683506e-16,4.29657315238275e-14
"Ckap4",5911.89834245654,-0.857993032412268,0.103508556298909,-8.28910249636346,1.14106185671974e-16,4.68742359141202e-14
"Snai2",273.248458133033,-1.92873254934271,0.232818426089704,-8.28427793167701,1.18827814492346e-16,4.75935103995469e-14
"Loxl3",1303.68366426357,-1.54161054323492,0.186680927924202,-8.25799700256931,1.48137273206582e-16,5.78855427815282e-14
"Kdelr3",1827.17166562413,-1.01650705043429,0.123459781135651,-8.23350763369168,1.81809788696156e-16,6.93517767785979e-14
"5-Sep",864.712518890899,-1.75667639798323,0.213718120616059,-8.21959501103356,2.04191539454406e-16,7.60779686883498e-14
"C1qtnf6",691.455516145099,-2.28989215593683,0.2789008707857,-8.21041594271796,2.20423572786066e-16,7.85338560559415e-14
"Ms4a2",78.7437522418764,-2.03465837985356,0.247816972926705,-8.21032698375886,2.20586949785742e-16,7.85338560559415e-14
"Astn2",129.746343973852,-2.12556806125941,0.259032914267578,-8.20578368300995,2.29091571383685e-16,7.97886101116962e-14
"Ctnna2",97.5885377301882,-3.33735382896949,0.408384958241133,-8.17207823555276,3.03121850226474e-16,1.03325854520816e-13
"B4galt5",4062.19277268094,1.45937393436724,0.179018274648057,8.15209473578224,3.57673920363194e-16,1.19381122461224e-13
"Tspan2",1207.29178970225,-1.65562226803156,0.203464325575274,-8.13716244039568,4.04649640918748e-16,1.32303916268556e-13
"Kcnmb1",388.042078223121,-2.8231845102634,0.347534380235992,-8.12346826908558,4.530472340744e-16,1.45165394742119e-13
"Fat4",1891.06348077366,-2.80287244127223,0.346525769200927,-8.08849641322644,6.04057658563688e-16,1.89757014663703e-13
"Fubp1",1421.47901110743,0.838247930908677,0.104164448688523,8.04735148568048,8.46049415292677e-16,2.60664570815461e-13
