"","gene","baseMean_I","log2FoldChange_I","lfcSE_I","stat_I","pvalue_I","padj_I","abs_LFC_I","baseMean_II","log2FoldChange_II","lfcSE_II","stat_II","pvalue_II","padj_II","abs_LFC_II","baseMean_III","log2FoldChange_III","lfcSE_III","stat_III","pvalue_III","padj_III"
"54","D630003M21Rik",60.8695248437066,2.98467746381796,0.392869623039293,7.59711947370247,3.02794966714944e-14,4.16316043968162e-12,2.98467746381796,60.8695248437066,2.53847697049307,0.478767743310509,5.30210526076882,1.14474800308386e-07,3.62250235322768e-06,2.53847697049307,60.8695248437066,-1.62936027295892,0.485988632032894,-3.35267157617101,0.000800356166485636,0.00607126237844052
"55","Dlg4",897.361962847773,0.281018910705752,0.0892674294828454,3.14805648973858,0.00164359927341562,0.0287284735656381,0.281018910705752,897.361962847773,0.361477350747087,0.0931072672005615,3.88237526044484,0.000103441082074628,0.00150606139004813,0.361477350747087,897.361962847773,-0.459356275320916,0.092594759122947,-4.96093169496758,7.01558604136447e-07,1.80912407354144e-05
"56","Dnaja2",6473.86640807785,0.575077706165478,0.174606723856661,3.29355991260436,0.000989272559179628,0.0192847140643294,0.575077706165478,6473.86640807785,1.15763347862225,0.174649345500275,6.62832989901145,3.39506046284247e-11,1.92230664827149e-09,1.15763347862225,6473.86640807785,0.556666015525898,0.174854460435533,3.18359631283832,0.00145457713743743,0.00969375221251461
"57","Dock10",2001.1713975206,2.23638937762089,0.663322584412374,3.37149590587522,0.000747611499090761,0.0155573911817549,2.23638937762089,2001.1713975206,2.35019260482529,0.662999900830463,3.54478575619917,0.000392932326980331,0.00455789162332444,2.35019260482529,2001.1713975206,1.69679601354477,0.663904096877842,2.55578482121791,0.0105948613616512,0.0440083676108412
"58","Dusp16",1067.25981556279,0.511094492725036,0.143006173235149,3.57393307689332,0.000351658845138212,0.0084612414941927,0.511094492725036,1067.25981556279,0.85824549982876,0.143477862384257,5.9817276725955,2.2078318057419e-09,9.65305870569641e-08,0.85824549982876,1067.25981556279,0.365051209074599,0.144444849435495,2.52727051536455,0.0114952921827476,0.0467545255292711
"59","Dusp27",74.3381791644691,-1.23968795100661,0.339187486109388,-3.65487525859609,0.000257307054017483,0.00660378554135871,1.23968795100661,74.3381791644691,-1.00358000256809,0.359683001854098,-2.79017912271314,0.00526788883492174,0.0359247167524105,1.00358000256809,74.3381791644691,-1.2807506133078,0.343240566261698,-3.73134978553587,0.000190456562275001,0.00189436631539162
"60","Eef2k",1118.97886152794,-0.538728472326777,0.166366566651798,-3.23820153994237,0.00120285803840061,0.0225064531389198,0.538728472326777,1118.97886152794,-0.497097764965504,0.168428714554381,-2.9513837131673,0.00316353642679356,0.0244512245372151,0.497097764965504,1118.97886152794,-0.538774306317297,0.167323397708176,-3.2199579598363,0.0012820939701568,0.00879484116903044
"61","Eepd1",56.9823312319996,-2.36472888190059,0.490311640049423,-4.82290993879368,1.41478861713351e-06,6.64217375464599e-05,2.36472888190059,56.9823312319996,-3.74855678084514,0.464209239036907,-8.07514470979134,6.73966693785787e-16,6.77542843589548e-14,3.74855678084514,56.9823312319996,1.36893250160883,0.430664686816035,3.1786504524658,0.0014796240650977,0.00981982483302828
"62","Ehf",9.17147969199002,2.79381193195849,0.757197845899617,3.6896723189158,0.000224543090312706,0.00582110950795516,2.79381193195849,9.17147969199002,1.7354487746281,0.611741790625728,2.83689752967992,0.0045554229623913,0.0322149459283938,1.7354487746281,9.17147969199002,1.9887221666946,0.785979806042507,2.53024588088087,0.0113982618345077,0.0464572627467444
"63","Ell2",1440.77411674033,1.20365609893303,0.216375229852015,5.56281834919939,2.6545216939037e-08,1.75437680534005e-06,1.20365609893303,1440.77411674033,1.08588512160074,0.217004072355132,5.00398499353351,5.61571306032205e-07,1.54830238069849e-05,1.08588512160074,1440.77411674033,0.65316949896836,0.21785066305303,2.99824425509948,0.00271539950316762,0.0156849664616424
