Ensembl,Gene_name,P8_4_Lps3,P8_4_Lps5,P8_4_Lps4,P7_4_Lps1,P7_4_Lps2,P4_5_Lps2,P4_5_Lps3,P4_5_Lps1,P7_4_Ctrl1,P7_4_Ctrl2,P8_4_Ctrl3,P8_4_Ctrl4,P8_4_Ctrl5,P4_5_Ctrl1,P4_5_Ctrl3,P4_5_Ctrl2
ENSMUSG00000026885,Ttll11,96.99998,91.99998,58.00004,54.99998,72.00003,125.00009,71.99996,240.99993,56,109.99997,94.99995,121.9999591,94.99996,181.0003,53.99996,139.9995
ENSMUSG00000016757,Ttll12,2897.00054,2657.0016,2217.00383,1448.99723,1802.00458,690.9998,893,1873.9995,1861.00447,4024.0017,4337.00126,5612.00476,3618.0035,1841.99708,1417,1366.00159
ENSMUSG00000045467,Ttll13,17.05164,23,16.02071,14.00001,17.04058,8.015718,4,19.00001,20.03401,38.06433,25.0371,37.09075,25.05299,15,19.99997,23.02569
ENSMUSG00000079722,Ttll2,6,3,2,3,9,0,0,4,1,5,8,7,5,2,0,0
ENSMUSG00000030276,Ttll3,337.66814,343.00087,248.00003,155.9999438,213.999471,76.99994487,41,159.8936197,182.03815,369.030575,459.01238,637.86359,354.79385,152.99993,99,109.9999723
ENSMUSG00000033257,Ttll4,1466.00379,1419.00051,1156.99939,818.00091,968.99985,383.99976,278.00046,885.99994,741.99905,1595.00004,1509.00018,1908.99858,1264.9999,720.0001262,356.0001875,435.000202
ENSMUSG00000012609,Ttll5,841.512737,817.017821,652.0236162,472.061513,584.1041514,295.99981,424.99981,794.0149702,616.0136,1274.052833,1304.014184,1703.138117,1062.026785,834.0040262,917.99957,601.0192109
ENSMUSG00000038756,Ttll6,3,3,0,4,1,2,0,3,0,6,3,4,5,5,3,12
ENSMUSG00000036745,Ttll7,720.63873,680.9384,543.8649,391.71706,473.54129,441.0003,258.999797,1106.7429,502.9501,994.0385,978.8647,1319.9857,938.0001,1170.7358,654.9991,807.99907
ENSMUSG00000022388,Ttll8,0,1,2,0,0,0,0,0,0,0,2,0,0,1,0,0
ENSMUSG00000074673,Ttll9,18.72443,29.999963,24.66923,23,15,23.00005,0,62.00002,19.999994,40.99997161,43.839926,50.90621,42.00009,43.99992,75.99998,34.000045
ENSMUSG00000051747,Ttn,114.9997704,92.99997986,78,50.26656,65.00002,44.999979,3,66.99997,32.00000475,44,64,85.00002,49.00000088,37,50,33
ENSMUSG00000073988,Ttpa,18,17.99996,15,8.999997,7,4.000004,0,21,13.99997795,27,17,38,21.99995,28,27,7
ENSMUSG00000017679,Ttpal,2175.86728,2057.4677,1729.3509,1254.91286,1474.4932,758.71358,738.9998,1784.98002,1089.28054,2384.84197,2160.799144,3048.5393,1933.95891,1646.5183,1119.04762,1170.57488
ENSMUSG00000061808,Ttr,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ENSMUSG00000030428,Ttyh1,54.73438,47.50655,39.69372,28.0304,43.7559824,55.03119,98.35027,129.1898,42.68613,90.22477,72.84424,87.17481,69.753,79.928,211.06505,61.946881
ENSMUSG00000034714,Ttyh2,2466.83,2394.81,1897.08,1370.4,1539.57,613.757,761,1570.69,1759.14,3731.11,4078.76,5426.27,3335.05,1288.97,841.82,898.959
ENSMUSG00000036565,Ttyh3,2622,2412,1955,1544,1723,572,224,1471,2138,4296,4858,6624,4028,1334,320,984
ENSMUSG00000031028,Tub,38.2028,33.3285,20.0816,26.1421,41.1956,27.4492,45.6422,59.0891,21.2647,41.3252,39.3356,77.27085,44.5952,60.743,43.14052,41.1812
ENSMUSG00000072235,Tuba1a,27275.471,25737.981,20265.201,19861.26,24416.38,6227.497,6522.157,14593.095,19035.09,41275.93,30598.85,40349.652,25788.621,12663.831,9980.789,8971.891
ENSMUSG00000023004,Tuba1b,13194.5636,12500.5501,9631.9936,12420.5929,15296.5337,2561.34404,2086.64,6143.7485,14197.8234,31379.491,16758.309,21352.4638,14892.977,6146.1142,3716.36,4491.5033
ENSMUSG00000043091,Tuba1c,2663.63,2466.58,1675.52,1903.53,2015.9,367.986,641.997,937.674,1420.03,3470.4,2227.63,3062.23,1967.63,759.167,800.651,325.325
ENSMUSG00000067702,Tuba3a,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ENSMUSG00000067338,Tuba3b,1.08784,1,1,0,0,0,0,0,0,1,5,0,0,0,0,0
ENSMUSG00000026202,Tuba4a,1304.83,1270.85,1024.37,876.327,1040.81,301.264,480.178,608.716,995.273,2038.45,1598.35,2174.76,1405.31,692.713,854.744,529.66
ENSMUSG00000030137,Tuba8,14.2421,20.2944,9.68106,14,13,8,38,29.6674,8,25,36,55,36.0017,36,26,34
ENSMUSG00000021216,Tubal3,3.0437,2.18216,2.10936,0,1.01665,4.04421,8.04682,3.06158,2.02478,5.32832,4.16609,7.22663,3.16539,3.09485,0,2.04369
ENSMUSG00000016255,Tubb1,1,2,1,0,0,0,0,0,0,3,0,3,1,0,0,0
ENSMUSG00000058672,Tubb2a,3465.4,3213.53,2693.08,1964.37,2320.44,602.065,928.074,1454.65,1695.16,3789.43,3319.76,4758.37,3055.31,1193.64,1336.93,975.148
ENSMUSG00000045136,Tubb2b,3693.79,3572.94,2821.86,2325.7,2943.13,288.176,182.287,716.179,2621.42,5367.13,4647.25,6558.79,3927.2,606.041,343.648,456.016
ENSMUSG00000062380,Tubb3,594.058,576.507,445,415.083,455.355,98.1562,56,197.075,528.173,1154.47,1039.42,1421.66,921.332,182,119.11,97
ENSMUSG00000062591,Tubb4a,46.0199,45.0103,34.0065,11.004,21.0094,4.00335,1,9.0124,43.0304,62.063,88.0408,121.067,74.0247,22.0182,10.0015,11.0035
ENSMUSG00000036752,Tubb4b,5042.9403,4929.9029,3757.7328,3793.9959,4357.8354,1560.0006,2224.9964,3745.1348,4008.2168,8737.142,5857.5301,8262.847,5320.8821,3405.1759,4654.0828,2273.9925
ENSMUSG00000095159,Tubb4b-ps1,0,1.89737,0,0,0,0,0,5.69921,0,7.60577,1.97295,1.87761,0,0,3.79298,0
ENSMUSG00000001525,Tubb5,18060.3954,17688.0448,13542.8633,15010.8228,18023.525,3385.87203,3472.891,8201.2692,16373.8947,35961.6561,24025.5776,32396.3201,20880.539,7602.0761,7029.93447,5354.4665
ENSMUSG00000001473,Tubb6,3504.84,3323.86,2383.44,2546,2866.28,498.038,422,1284,2249.78,4830.63,3448.1,4609.55,3034.15,999.173,902.89,692
ENSMUSG00000020513,Tubd1,180.99945,192.99985,161.00048,113,145,72.999983,91,168.00009,179.99975,364.00007,265.9997491,446.99975,245.000411,196,266,142
ENSMUSG00000019845,Tube1,85,69.9764,51.1135,52,65,28,33,100.107,85.0822,178.145,105,186.059,110,97,119,57.6936
ENSMUSG00000035198,Tubg1,1008.9591,900.3277,754.46054,677.7867,805.1899,249.27702,429.917,637.8511,728.6881,1675.7649,1335.8191,1727.7624,1139.8011,674.3233,793.52,491.12126
ENSMUSG00000045007,Tubg2,152.041,141.642,126.54,98.2033,116.81,107.723,127.083,240.149,110.312,257.234,260.182,350.235,215.198,224.677,228.48,212.879
ENSMUSG00000025474,Tubgcp2,1419,1383,1094,931,1084,671,597,1654,1008,2109,1887,2476,1593,1474,961,1129
ENSMUSG00000000759,Tubgcp3,1437.7076,1375.27592,1191.33529,845.50134,1065.06888,495.34315,635.9998,1235.0157,942.77429,2036.19579,1904.4319,2545.82038,1622.94642,1129.28446,862.9068,830.7881
ENSMUSG00000027263,Tubgcp4,1961.66838,1828.581691,1552.143604,1064.955491,1322.805499,602.6196306,749.576179,1508.035809,1099.8526,2460.40077,2434.62334,3104.950521,2163.773707,1301.048142,1784.9141,910.01223
ENSMUSG00000033790,Tubgcp5,652,619,499,373,493,294,249,730,478,1117,1020,1315,901,680,634,474
ENSMUSG00000051786,Tubgcp6,1485.6408,1382.15022,1095.34555,831.41658,1037.01979,518.053086,349.13833,1323.5703,979.78074,2101.87384,1904.79099,2468.90123,1589.62966,1209.28661,717.1783,896.261
ENSMUSG00000073838,Tufm,2794.0008,2554.0583,2169.9987,1440.9982,1933.0001,797.9996,675.982,1880.9996,1581.0004,3457.3957,3342.887,4860.8603,3060.4642,1659.9994,1383,1260.9765
ENSMUSG00000005968,Tuft1,608.00027,509.30731,387.99964,374.0002001,480.309543,289.9998521,234.0003194,651.0004819,496.0001,993.5449533,767.99979,1050.585047,662.5426,761.999598,374,511.2422803
ENSMUSG00000056579,Tug1,3288.6213,3232.9506,2766.3417,2027.4976,2502.41385,1523.79783,1615.595,3762.2267,2361.60812,5005.7408,4337.0651,6164.0081,4232.1596,3559.3986,2827.13921,2451.34815
ENSMUSG00000037446,Tulp1,6.41368,6.4123,5.57573,3.06356,4.26374,6.034042,0,26.34509,11.38603004,16.54885,20.66858,22.779639,12.98631,19.25237092,25.2596,9.37885
ENSMUSG00000023467,Tulp2,7,14.00002,4,5,8,6,21.00003,7,4,12,4,22.00005,16.00001,13,34,13
ENSMUSG00000001521,Tulp3,3242.32993,2915.8141,2456.21725,1887.01241,2162.52001,1218.60797,1489.4516,2952.07456,2452.4695,5170.31874,5287.00377,7069.0956,4503.48549,3623.6458,3344.2486,2616.7024
ENSMUSG00000034377,Tulp4,21050.207,20227.167,16658.0799,11865.9361,14236.4894,4902.942063,3574.49758,11922.3782,14326.5315,30830.6299,31831.89903,41209.46,27216.9623,12940.92296,8411.3613,8634.7257
ENSMUSG00000097929,Tunar,2.44959,7.83741,4.34849,0,0,2.00898,0,5.28159,10.2672,8.90772,7.53992,7.2569,5.19018,4.38771,0,1.37191
ENSMUSG00000054000,Tusc1,61,53,38,32,33,20,26,49,37,70,71,140,92,74,45,41
ENSMUSG00000010054,Tusc2,710.946,645,571.716,357.951,470,327,636.978,735,459.931,898.81,910.761,1203.3,807.704,713.707,1093.77,445.818
ENSMUSG00000039530,Tusc3,2434.9953,2318.9976,1936.9998,1352.996,1731.0031,1249.0023,1060.9953,2946,1553.0043,3215.9977,2889.005,4226.0025,2758.005,3052.003,2868.9992,2080.0031
ENSMUSG00000046275,Tusc5,59,46,50,28,30,15,2,28,9,34,31,34,26,16,0,7
ENSMUSG00000071645,Tut1,1141,1028,880,614,710,356,410,799,503,1180,1139,1681,1050,850,575,556
ENSMUSG00000050908,Tvp23a,717.21493,618.5486,516.1391,444.2714201,533.25351,218.31654,210.4866,492.97168,376.62471,882.92248,743.33265,961.9427,619.07684,461.51932,314.34289,325.90728
ENSMUSG00000014177,Tvp23b,1999.0021,1818.9998,1529.0034,1000.00023,1310.99545,932.00013,936.00011,1970.003996,1103.99515,2234.99909,2271.99937,3234.99804,2155.00199,2070.0043,2128.99668,1539.00128
ENSMUSG00000086677,Tvp23bos,6,7,10,8,5,4,0,5,9,19,18,26,10,13,0,10
ENSMUSG00000022451,Twf1,6158.23,5749.88881,4844.17651,3209.67289,4044.9154,1907.353,1886.88056,4465.1027,3438.4201,6979.56181,6828.3245,9591.4622,6218.08805,4381.8856,4218.96,2998.04442
