"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Trim21",1214.11019879133,3.66143219952683,0.467876918642104,7.82563117273069,5.05116205870704e-15,4.66537955647329e-13
"B4galt5",4062.19277268094,1.39449744564163,0.178267020609048,7.82252062595394,5.17759676282197e-15,4.75245496652069e-13
"Ch25h",565.696591361938,4.70418906523978,0.603898207338797,7.78970529813256,6.71656669621403e-15,6.12700139732413e-13
"Gbp11",125.091928427264,7.4350559909938,0.95469726402122,7.78786770549344,6.81494814112293e-15,6.1786075846328e-13
"Mapkapk2",6240.0128118323,1.79522116377017,0.232135885385925,7.73349265145121,1.04635413056158e-14,9.42867154965798e-13
"H2-K2",169.939281068348,3.50790100150092,0.456051328231373,7.69189953925806,1.44966429157109e-14,1.29837205459622e-12
"Dhx58",300.308177468593,3.97410434780963,0.516782044056938,7.69009758274762,1.47022848558836e-14,1.30885762409787e-12
"Hcar2",260.932979680789,5.43173957637987,0.706454261925019,7.68873495302995,1.48596934157639e-14,1.31494939699496e-12
"Tap1",1866.08664261611,3.23498385190832,0.421194293498752,7.68050256577825,1.58465673161923e-14,1.3939319749922e-12
"Tapbp",5828.84707607609,1.83311284096283,0.239151505787572,7.66506919923434,1.787348096158e-14,1.56292486183567e-12
"Gm4951",196.500125236135,7.17153694356123,0.938597721794044,7.64069289434614,2.16055842859872e-14,1.87816073281364e-12
"Tor3a",2745.83439472829,2.8146557687099,0.369004675040209,7.62769677214306,2.38984867920523e-14,2.06533238487105e-12
"Paqr7",325.892326627563,-1.63344659933335,0.2147203682959,-7.6073202197676,2.79837375769248e-14,2.40432368553369e-12
"Btg1",1000.95048417938,1.36604838973335,0.180734006443342,7.5583362346454,4.08257594351988e-14,3.48741660655126e-12
"Parp12",1949.82577724701,2.92507390312342,0.387351595834832,7.55146986504396,4.30373133531041e-14,3.65520354443777e-12
"Cdk20",171.766641914823,-1.22176961768878,0.162688997649251,-7.50984784061951,5.91961270626466e-14,4.9988592327531e-12
"Peli1",1603.46530126684,3.08926838948412,0.412423483553125,7.49052494021279,6.85986888116024e-14,5.75995126851057e-12
"Gpr157",295.086925860088,-3.11131462621148,0.415797753444328,-7.48275958789675,7.27779467589148e-14,6.07634179210872e-12
"Chic2",507.485469665419,0.921612548922315,0.123662551084949,7.45264060005701,9.14902705436482e-14,7.59574841625861e-12
"Samd9l",3502.82498065925,3.67296110848071,0.494121718427846,7.43331242384371,1.05911344543535e-13,8.7438986014769e-12
"Malt1",1562.69374954557,3.39092027880377,0.456367809400857,7.43023545691257,1.08404535891077e-13,8.90001239665742e-12
"Hivep3",907.223905069473,3.64216587327733,0.491199995399885,7.41483287334369,1.21778274268392e-13,9.94275876871986e-12
"Klhl25",673.262165063157,1.52317719906478,0.205982704082416,7.394684936534,1.41743953202886e-13,1.15092974749024e-11
