"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0002285","GO:0002285","lymphocyte activation involved in immune response",26,0.716012439065752,1.92038138164276,0.000104558762024258,0.00561712635230101,0.00501863920565019,132,"tags=58%, list=15%, signal=51%","Icosl/Nfkbiz/Zc3h12a/Bcl3/Tnfaip3/Ripk2/Pglyrp3/Stx11/Nlrp3/Icam1/Irf1/Nfkbid/Cd74/Relb/Il23a"
"GO:0002287","GO:0002287","alpha-beta T cell activation involved in immune response",13,0.800860913296082,1.90785982203297,0.000112561909049977,0.00561712635230101,0.00501863920565019,132,"tags=69%, list=15%, signal=60%","Nfkbiz/Zc3h12a/Bcl3/Ripk2/Nlrp3/Irf1/Nfkbid/Relb/Il23a"
"GO:0002292","GO:0002292","T cell differentiation involved in immune response",13,0.800860913296082,1.90785982203297,0.000112561909049977,0.00561712635230101,0.00501863920565019,132,"tags=69%, list=15%, signal=60%","Nfkbiz/Zc3h12a/Bcl3/Ripk2/Nlrp3/Irf1/Nfkbid/Relb/Il23a"
"GO:0002293","GO:0002293","alpha-beta T cell differentiation involved in immune response",13,0.800860913296082,1.90785982203297,0.000112561909049977,0.00561712635230101,0.00501863920565019,132,"tags=69%, list=15%, signal=60%","Nfkbiz/Zc3h12a/Bcl3/Ripk2/Nlrp3/Irf1/Nfkbid/Relb/Il23a"
"GO:0002294","GO:0002294","CD4-positive, alpha-beta T cell differentiation involved in immune response",13,0.800860913296082,1.90785982203297,0.000112561909049977,0.00561712635230101,0.00501863920565019,132,"tags=69%, list=15%, signal=60%","Nfkbiz/Zc3h12a/Bcl3/Ripk2/Nlrp3/Irf1/Nfkbid/Relb/Il23a"
"GO:0042093","GO:0042093","T-helper cell differentiation",13,0.800860913296082,1.90785982203297,0.000112561909049977,0.00561712635230101,0.00501863920565019,132,"tags=69%, list=15%, signal=60%","Nfkbiz/Zc3h12a/Bcl3/Ripk2/Nlrp3/Irf1/Nfkbid/Relb/Il23a"
"GO:0035710","GO:0035710","CD4-positive, alpha-beta T cell activation",16,0.765407232344211,1.90051227030039,0.000109745390693591,0.00561712635230101,0.00501863920565019,178,"tags=75%, list=20%, signal=61%","Cd83/Nfkbiz/Zc3h12a/Bcl3/Ripk2/Nlrp3/Irf1/Nfkbid/Relb/Il23a/Cd274/Rsad2"
"GO:0031663","GO:0031663","lipopolysaccharide-mediated signaling pathway",14,0.783349929639207,1.89535665115322,0.000111557340473003,0.00561712635230101,0.00501863920565019,69,"tags=50%, list=8%, signal=47%","Ccl5/Ccl2/Cx3cl1/Tnfaip3/Nfkbia/Ripk2/Lbp"
"GO:0034097","GO:0034097","response to cytokine",141,0.611623545315624,1.87829337748355,0.0001000200040008,0.00561712635230101,0.00501863920565019,175,"tags=45%, list=19%, signal=43%","Cxcl1/Cxcl5/Cxcl2/Ubd/Serpina3f/Sele/Nos2/Cxcl10/Gbp6/Gbp5/Gbp4/Ccl5/Ccl2/Gbp2/Gbp9/Gbp3/Tlr2/Tgtp2/Ccl20/Traf1/Zc3h12a/Tslp/Cx3cl1/Tgtp1/Serpina3g/Serpina3i/Nfkbia/Cxcl16/Ripk2/Pdgfb/Cxcl9/Stx11/Csf3/Saa3/Serpina3h/Ifitm1/Iigp1/Gbp7/Parp14/Ccl7/Ifi47/Icam1/Irf1/Cd74/Ifi203/Csf1/Relb/Ereg/Cxcl11/Oasl2/Gm4841/Il13ra1/Casp1/H2-Q7/Birc3/Cd274/Gm4951/Ciita/F830016B08Rik/Ch25h/Ifi205/Casp4/Il15"
"GO:0043270","GO:0043270","positive regulation of ion transport",21,0.721071649437773,1.8761408629398,0.000106484932382068,0.00561712635230101,0.00501863920565019,62,"tags=38%, list=7%, signal=36%","Cxcl1/Cxcl10/Ccl5/Ccl2/Lcn2/Cx3cl1/Pdgfb/Cxcl9"
