"","P7_4_Ctrl1","P7_4_Ctrl2","P8_4_Ctrl3","P8_4_Ctrl4","P8_4_Ctrl5","P4_5_Ctrl1","P4_5_Ctrl3","P4_5_Ctrl2"
"Myo1f",1447,2973,2750,3809,2444,6,4,1
"Pik3r5",584,1167,1084,1470,968,58,100,61
"Plac8",1778,3944,3565,5015,3263,63,2,58
"Rac2",518,1147,1019,1383,919,13,13,11
"Sema4d",734,1624,1481,2004,1340,56,47,30
"Angptl1",170,342,321,453,277,22,1,10
"Hcls1",536,1100,1020,1461,877,13,5,14
"Adam8",4676,9707,9366,12698,8330,163,28,128
"Laptm5",3809,7915,7474,10277,6708,34,10,7
"Gpr155",249,430,416,561,382,62,52,60
"Stab1",3136,6364,6015,8424,5468,42,4,57
"Abhd15",47,91,73,115,85,9,15,10
"Entpd1",236,453,401,565,425,25,67,19
"AF251705",317,699,549,872,592,2,1,2
"Coro2a",197,442,367,538,366,14,6,13
"Shisa9",56,120,93,134,100,2,1,2
"Cd180",562,1112,937,1346,983,4,2,2
"Fgd2",50,99,81,117,85,2,2,2
"Ncf4",178,366,301,483,342,2,1,2
"Tnfaip8l2",203,390,350,512,371,5,2,7
"Cd300a",480,961,866,1261,886,45,21,19
"Fcgr3",1119,2297,2071,2955,2019,109,15,81
"Ccl3",192,336,296,438,301,20,7,15
"Lair1",349,671,574,845,588,2,1,4
"Lilrb4",2771,5184,4639,6688,4750,19,22,10
"Col7a1",3853,8813,8030,11590,6548,1204,98,760
"Pkmyt1",130,255,217,348,190,40,10,33
"Arhgap10",1665,3324,3225,4107,2724,755,123,475
"Kcnj2",291,608,570,778,522,136,23,60
"Tll1",5192,11509,10550,14464,9476,2493,184,1603
"Naip5",128,245,224,330,209,55,1,17
"Slc15a2",126,219,198,286,178,56,1,33
"Adam33",457,1076,892,1194,683,197,2,143
"C1qtnf3",7275,14999,12547,16473,9969,2727,47,1629
"Nlrc4",47,106,100,128,76,5,10,5
"Diras2",169,376,310,430,243,43,24,49
"Slfn5",60,160,138,179,104,5,2,15
"Myo1b",1466,3215,2639,3762,2528,533,123,306
"Glipr2",2764,5871,4766,6590,4313,1005,152,653
"Syne2",1176,2481,2059,2870,1861,496,66,288
"Adcyap1r1",1717,4118,3331,4477,3015,593,3,429
"Foxs1",31,72,57,77,55,7,1,7
"Igsf9",83,202,167,216,150,23,7,17
"Slc7a8",340,697,577,739,526,78,3,41
