Gene_name,468-4_LPS,685-2_LPS-2,697-3_LPS-2,697-1_LPS-1,697-5_LPS,697-2_LPS,685-1_LPS,468-6_LPS,685-2_CTRL-3,697-3_CTRL-3,697-1_CTRL-3,468-4_CTRL,685-1_CTRL,697-5_CTRL,697-2_CTRL,468-6_CTRL
Ppid,116,792,336,1263,1386,273,2192,939,399,931,621,1175,1119,297,1217,56
Ppie,71,502,235,674,818,152,1040,506,304,671,438,636,536,159,710,32
Ppif,41,328,135,525,491,124,914,293,135,309,243,285,350,89,441,21
Ppifos,3,31,10,75,39,11,132,36,29,45,48,29,57,9,52,1
Ppig,280,1685,773,3699,2842,844,5644,1659,1005,2333,1946,2595,2707,598,3489,121
Ppih,11,118,45,176,79,24,178,74,58,188,96,135,133,29,172,7
Ppil1,46,522,242,774,540,118,1044,393,277,626,448,544,588,151,731,35
Ppil2,247,1702,732,2671,3263,720,4357,1970,969,2407,1652,2406,2777,795,3774,175
Ppil3,111,683,313,1099,1171,217,1648,811,406,993,651,1102,973,311,1183,81
Ppil4,133,809,371,1506,1401,387,2452,864,566,1213,958,1342,1341,344,1658,82
Ppil6,2,5,1,11,10,2,15,11,2,11,10,7,16,4,12,2
Ppip5k1,193,925,460,1333,2269,553,5745,1813,668,1494,1062,2098,4487,746,3744,197
Ppip5k2,189,1219,507,2737,1828,733,3365,857,782,1597,1489,1619,1943,377,2706,60
Ppl,13,152,17,178,136,28,268,125,139,93,199,105,192,48,148,14
Ppm1a,445,2683,1270,4252,5104,1086,7067,2982,1606,3972,2455,4059,3794,1136,4757,255
Ppm1b,108,786,428,1451,1462,335,2153,769,498,1179,851,1136,1156,309,1314,75
Ppm1d,67,492,245,996,685,134,1112,448,365,761,700,746,849,216,962,32
Ppm1e,19,95,29,106,370,38,361,362,127,301,259,334,528,182,585,71
Ppm1f,413,2588,1453,5100,4051,734,6012,2728,1461,3694,2677,4251,3469,1042,4086,280
Ppm1g,368,2659,1433,4497,3998,963,6721,2440,1533,3858,2538,3726,3877,1096,5182,157
Ppm1h,150,887,386,1265,2352,665,2653,1073,500,1072,627,1445,1495,632,3154,91
Ppm1j,18,82,67,192,227,32,132,103,35,158,95,155,73,69,125,10
Ppm1k,90,407,156,927,1426,695,2164,451,186,578,390,535,612,222,739,55
Ppm1l,84,447,339,933,510,137,1089,306,329,917,585,702,699,96,546,17
Ppm1m,76,640,333,1085,769,153,1290,559,436,897,717,961,960,223,1084,46
Ppm1n,1,2,2,4,2,1,13,4,1,0,1,2,15,0,4,3
Ppme1,374,1947,1328,2902,3517,790,4741,2025,1073,3617,1799,3467,2397,807,3014,150
Ppox,61,611,287,903,876,170,1267,566,438,930,676,725,1056,235,1203,50
Ppp1ca,742,5457,2899,8306,8584,1944,12999,4306,3476,8429,5457,7836,8285,2074,10825,367
Ppp1cb,749,3525,1755,11476,9593,2993,18307,5121,2689,5495,6802,7883,10238,1953,11023,376
Ppp1cc,10,68,46,167,142,26,161,73,53,100,93,100,130,43,233,5
Ppp1r10,320,2313,1345,3927,3398,971,5127,1771,1204,3449,1925,2790,2725,674,3159,157
Ppp1r11,244,1321,655,2009,3084,491,3060,1604,623,1532,954,1774,1425,566,1984,107
Ppp1r12a,341,2464,1380,5039,4505,1376,7565,2675,1530,4352,2856,3176,3839,984,4720,191
Ppp1r12b,151,924,644,2280,673,193,1307,391,346,1075,631,669,604,137,673,29
Ppp1r12c,421,2056,1384,3458,4117,693,4600,2231,1274,3601,2256,3807,3033,1061,4329,192
Ppp1r13b,45,508,227,779,1085,281,2266,771,406,790,597,726,2436,345,2227,90
Ppp1r13l,67,502,342,732,833,103,754,569,407,1184,657,853,826,260,921,49
Ppp1r14a,13,90,252,336,89,7,79,36,81,593,128,153,33,18,46,1
Ppp1r14b,143,876,545,1145,1289,212,1553,786,523,1359,647,1231,875,283,1139,75
Ppp1r14c,0,10,0,7,3,11,30,3,4,9,3,12,17,2,19,1
Ppp1r14d,0,0,0,2,5,1,11,3,0,0,0,2,3,1,11,0
