"","Gene_name","P4_5_1","P4_5_2","P4_5_3","P7_4_1","P7_4_2","P8_4_3","P8_4_4","P8_4_5"
"72","1500015A07Rik",11.2818374993433,19.3889408603294,-5.70092580464363,0.909622925336556,8.02066526717184,13.9718069312012,-64.5793362569039,15.3238863019156
"73","1500015L24Rik",-0.171295276216943,0.247256283893006,1.61858698408261,0.200281255373793,-0.0839785722380739,6.04092951596487,1.0762835743326,-2.07943247764588
"74","1500015O10Rik",13.5636360755658,-4.81029639773932,-15.9152834230702,30.8376929147389,20.6065385349415,94.9527153028449,-29.0323796471261,46.863914187227
"75","1500017E21Rik",-21.5531387523497,-6.12109967258766,-3.93105862103325,3.36861537340736,-1.51161430028533,9.01411213637528,-0.373173553687249,-11.5338880072114
"76","1500026H17Rik",-17.2370533706207,-2.49625355667312,16.1553274773549,22.3257395613527,0.396170076145502,36.1510128206452,-12.6150650818352,-17.1095519447917
"77","1520401A03Rik",-2.89717850660143,2.71981912282306,-14.1622251505184,-6.8929887580869,1.01391076926337,-0.690635055711283,-3.97519783037229,-4.00174714551445
"78","1600002H07Rik",-133.155119216293,-49.5361069527935,-84.302213855604,-78.557218841624,-115.361886102858,-63.7620724842451,-79.7929777846228,-43.7486592449666
"79","1600002K03Rik",13.3751053883842,-13.5448147743209,-17.5994622105696,9.35760161898301,-30.1791469455009,-35.2654155358298,-53.7596249969218,-72.6284962964139
"80","1600010F14Rik",-0.638646988541887,-3.13980983522576,-2.6273338705904,0.200281255373793,-0.0839785722380739,0.298035390283613,3.41543749984142,-0.157117809777314
"81","1600012H06Rik",55.2972493336576,-39.6510093626512,-25.0847836000967,-38.0446411863657,-45.975184620457,-117.923808541193,86.3481776852941,31.1959523181783
"82","1600014C10Rik",388.642630362798,348.810973334303,297.171032903184,393.362599576613,281.302119980531,-45.954337098705,997.391902330203,32.4514540268403
"83","1600020E01Rik",2.74675606666938,-4.38384269071094,4.85432933441948,18.2450456546534,-3.02275418828015,-12.5259952779472,-121.868149786979,23.7550577584142
"84","1600025M17Rik",-1.72137863124578,2.64055912389114,-1.28691583938421,2.0667872134777,3.73728367073955,-0.988670445994896,-6.50093853272473,-1.92231466786857
"85","1600029O15Rik",1.77633861664801,1.15228327698449,2.94219610423016,4.59811159744276,-0.839785722380737,-3.46034656098214,2.99902685942501,1.57665548635848
"86","1700001C19Rik",-6.02903814389839,-3.80231868797285,-1.56508479226063,0.60084376612138,0.623908595524338,-7.71306373524534,-12.6719405984914,-5.7956288712685
"87","1700001G11Rik",-7.30633212098216,6.19088338442237,-3.91424970997461,-5.62732656610437,-7.77442304057357,-0.690635055711283,-6.50093853272473,-3.97032358355899
"88","1700001G17Rik",-5.90427698400733,-12.143986772049,-7.16823258919847,3.23230877777334,3.92327011014461,9.40671180180295,-16.6039013421345,-3.90747645964806
"89","1700001K19Rik",-0.365857610596828,-1.11739142106714,8.0058149064738,1.96664658579081,1.14580932388169,-10.4899465229419,1.0762835743326,1.54523192440301
"90","1700001L05Rik",-3.75365488768615,-18.7992290118886,-6.24353025798389,-2.55913307575771,-6.25664083788176,14.9604773771961,75.3694488600839,6.49790201145935
"91","1700001O22Rik",-4.6502500650865,-2.89255355133275,-1.28691583938421,1.66622470273012,-5.18294869371571,-1.48300566899234,-12.8152902886058,0.662633495357388
"92","1700003E16Rik",-19.6520389758106,-19.5901041501308,-25.0001563189324,-28.9739238199642,-11.5415973987645,-20.3623084180394,6.8149147728077,-37.6524882256068
"93","1700003F12Rik",-23.1814491509437,-19.9958804318877,-14.2661540755163,-24.4119781904685,-8.88417377459744,-14.9389635299189,-24.4974214862229,0.0655858182035942
"94","1700003M02Rik",5.93596991124662,1.19665141999906,3.68958294892017,-1.06538093660874,-0.167957144476148,-0.196299832713835,1.0762835743326,-0.0628471239109256
"95","1700003M07Rik",1.41890687512753,-13.1424881947182,-9.25296200644861,-12.3840087285573,-17.3304253930756,10.8166670429284,9.41349121869144,0.859390949968159
"96","1700006J14Rik",12.6521997090789,-5.79932153331134,-9.2865798285659,16.0975692291269,-12.027439537264,29.4122769665433,35.2306585727467,-9.13474252142557
"97","1700007J10Rik",11.5610421972986,-22.2702932734879,-4.34677432102486,-3.05983621419218,-11.1036752426452,11.8855591992159,-39.3355676633065,-5.76420530931304
"98","1700007K09Rik",3.64574546594778,0.494512567786011,0.713769022572725,1.56608407504322,0.43792215611928,-2.27537628227341,1.0762835743326,-0.0628471239109256
"99","1700007K13Rik",-50.2838273676582,-81.5398564352149,-77.0790474567552,-140.499597449545,-77.7978438782319,-86.974314117848,-285.772878083483,11.7854193476755
"100","1700007L15Rik",-2.74915028854744,-1.61664213240176,0.281244411522479,-6.69270750271311,4.02527797731159,-8.60716990609617,-3.54514876002887,-4.50452413680186
"101","1700007M16Rik",1.20749280259495,-2.43767098301271,1.70570699802187,-3.5967053205738,0.353943583881206,1.58474122656212,27.8832603292622,-1.92231466786857
"102","1700007P06Rik",-1.0510387154646,1.97805027114405,-2.85200063164484,-1.3296368517223,-1.17570001133303,4.06358862397508,1.0762835743326,11.8850245773068
"103","1700008F21Rik",4.46411359978296,3.79284240087562,1.48104023696743,11.8276882065375,-1.61362216745231,10.2062536975097,-47.6591368777383,3.25032035287601
"104","1700008I05Rik",-2.18873034357072,2.14604655610512,-0.556337905752845,-9.72473502511266,3.13140437014412,-14.3428927493517,-19.129642044487,-7.52940216740429
"105","1700008O03Rik",-1.30056103524672,1.69116398778508,4.02125409361857,2.0667872134777,0.791865740000485,-7.32046406981766,4.63507076428849,-2.26797384937866
"106","1700009N14Rik",-10.6371588636032,-14.3723066195575,3.78900479744365,4.67880080949151,32.7720445292303,2.39145440469462,1.0762835743326,7.47477112637137
"107","1700009P17Rik",-3.89325723666381,-5.75969153384538,3.15620487151807,5.67184981020598,3.50954515136072,-33.7308732862477,-62.9000552653113,-19.7231849756804
