gene,log2FC,pvalue,adjusted_pvalue
Ptgs2,0.996729502880315,5.89536421862005e-07,3.79495449033264e-05
Stat2,0.435446653915032,5.94844700971553e-07,3.81535102986466e-05
Gm5428,5.01699544362961,6.06562171699071e-07,3.87656275396636e-05
Fam167a,1.776267698091,6.2693927561409e-07,3.99248365124101e-05
Zmiz1,0.271681596033283,6.37370763434313e-07,4.04446906861112e-05
Osmr,1.55121635479666,6.3964159235215e-07,4.044485543699e-05
Ifitm3,0.879213649489509,6.42590253180517e-07,4.04877272242466e-05
H2-D1,0.560015335203339,6.76656586416639e-07,4.24840267337855e-05
Ugcg,0.623367843288846,6.8146949089182e-07,4.26360789196212e-05
Ccrl2,2.4914413263545,7.10238723352786e-07,4.42806527136487e-05
Bmp2,2.07913101783795,7.26188871040928e-07,4.51173301725811e-05
Bmp3,2.9524274824564,7.56539953289441e-07,4.68398052330001e-05
Ddx58,0.723202258421754,7.97001503268385e-07,4.91741654144587e-05
Polr2a,0.307611920636152,8.46613317070358e-07,5.2055041574764e-05
Ep400,0.425304275253887,9.02999240869492e-07,5.53312009070237e-05
Clic4,0.736291671066294,9.45715933229229e-07,5.77502082377068e-05
Gm2260,1.60985093876013,1.06066072121905e-06,6.45482638909793e-05
Socs2,1.00652371870936,1.09977303652932e-06,6.67008605930418e-05
Saa3,2.84852684722038,1.13675125725932e-06,6.87098700616644e-05
Gpr68,1.46824794422704,1.14351223809018e-06,6.88850226938714e-05
Nlrp3,2.84806290721311,1.20581694557484e-06,7.23936766213633e-05
Plscr2,1.03040613255589,1.21460553634169e-06,7.2676615162781e-05
Trafd1,0.318450533851825,1.28483407610574e-06,7.6621660237597e-05
Ifnar1,0.606240937256618,1.35342507338025e-06,8.04430749448108e-05
Zswim4,0.915724681062231,1.36900085534237e-06,8.10985191083383e-05
Prkcd,0.635882293682429,1.38787992742198e-06,8.19446588935805e-05
Oasl2,2.31654638928612,1.55119005474812e-06,9.12847190304083e-05
Irf2,0.549329980627658,1.5706938441428e-06,9.21284274174678e-05
Slc4a4,-0.801870960871956,1.65543922639006e-06,9.67807765434795e-05
Mast4,0.661950963508223,1.66802655482833e-06,9.69670202237136e-05
Szrd1,0.356152685561065,1.66950116138635e-06,9.69670202237136e-05
Myd88,0.684295621928522,1.71496455376802e-06,9.92841979163557e-05
Pigv,0.732497153987264,1.79716795267978e-06,0.0001037064782014
Tap2,0.732131066993393,1.82254580936405e-06,0.0001048316591186
Mndal,1.55883174718654,1.90892320384133e-06,0.0001094469763591
Nrip1,0.382595108424279,2.10869884525264e-06,0.0001205134907362
Crtc2,0.437047265485674,2.13253907475196e-06,0.000121486595022
Rerg,-1.68085583582183,2.25979319888437e-06,0.0001283260271633
Slfn10-ps,2.37528371853846,2.31361264654594e-06,0.0001309651653986
Alpk1,0.726870147752629,2.35714096267214e-06,0.0001330069003335
Mapk11,1.2590051715623,2.36912910864101e-06,0.0001332616439627
H2-T10,1.49538322687607,2.45476898415546e-06,0.000137644609297
Ets2,1.05285944757943,2.61983525022247e-06,0.0001464397565727
Egr3,3.42871817286108,2.74573033181686e-06,0.0001529972423332
Kank1,0.466694546676053,3.05093936557776e-06,0.0001694744542916
Spib,2.27101788370416,3.10153561386811e-06,0.0001717499426424
Ifi204,1.28473367860587,3.38141389480733e-06,0.0001866687032765
Serpina3i,3.40556555254703,3.42862425672815e-06,0.0001886907380299
Coil,-0.398251795536445,3.60170772844243e-06,0.0001976063092487
Mfsd7c,0.965166555562257,3.64444406852377e-06,0.0001993376754167
Gm4070,0.894758240729894,3.86098233729208e-06,0.000210535706594
Usp42,0.361637995464622,3.94605379610501e-06,0.0002145185525559
Ccrn4l,0.618386519172286,4.23566236208197e-06,0.0002295626005418
C1s1,0.525875255783827,4.29065675829228e-06,0.0002318384868397
Mapkapk2,0.642348701700563,4.30456976079633e-06,0.0002318875631563
Gm17334,3.28237628912907,4.39936611965663e-06,0.0002362804134927
Jade1,-0.627166791359042,4.53176152847938e-06,0.0002426601796225
Zbtb40,0.638876675843052,4.56401153881859e-06,0.0002436553585289
Ifitm1,2.78701400270071,4.65619785797086e-06,0.0002478348179268
Mat2a,0.28360290895058,4.77158084683912e-06,0.0002528070550165
Tnfrsf9,2.01211178868039,4.77796968989784e-06,0.0002528070550165
Stat3,0.282065783895909,4.92174906977336e-06,0.0002596441055122
Slc45a4,0.517630944155685,5.02005868273618e-06,0.0002640491633388
Gm15987,1.14449989598057,5.03907608758263e-06,0.0002642698991696
Pdlim4,1.31518808107422,5.0730369188769e-06,0.0002652707369515
Nfkbib,1.06142372365531,5.15094741889132e-06,0.0002685571445212
Bcor,0.778925538036654,5.32956637800667e-06,0.0002770597611843
Ogfr,0.525832263190824,5.62578338321888e-06,0.000291608556704
Sh3kbp1,0.443976299159827,5.91823331604633e-06,0.0003058783137925
Parp8,1.21270310701944,6.01238665623056e-06,0.0003098464348764
