gene,log2FC,pvalue,adjusted_pvalue
Ccl12,4.88673929812861,3.73888855923381e-08,2.3890101628067e-06
Hcar2,3.94342248393763,3.72560083589527e-08,2.3890101628067e-06
Ptges,2.65175206261493,3.79361220679248e-08,2.41396009803295e-06
Tsku,0.603197946663638,4.03327731785069e-08,2.55590277438612e-06
Nfe2l2,0.776411614606934,4.24656221499962e-08,2.68003326019587e-06
Slamf7,4.79162389653738,4.31233531667616e-08,2.71043475679577e-06
Rrad,1.22124642956058,4.59177354103698e-08,2.87433824221254e-06
Ccrn4l,1.70905316076602,4.94507572821325e-08,3.08296441857311e-06
Bcl2a1a,4.83852600493735,5.09948400961283e-08,3.16640944613016e-06
Phf11b,4.07618657999719,5.70561453906632e-08,3.52854450952137e-06
Ptgir,2.11590398146751,5.74780161598222e-08,3.54041588338041e-06
Stat2,2.25576143119556,5.88476225263915e-08,3.61033680989603e-06
Gsdmd,1.12451578487281,5.96875648259487e-08,3.64733655061422e-06
Ifi44,3.87436652154868,6.02788668926463e-08,3.6689101631615e-06
Slc39a4,2.78081633631171,6.31657047347467e-08,3.82948302051324e-06
Itpripl2,0.991512038263039,6.37244811279713e-08,3.84820896035149e-06
Cacna1e,2.61196966001165,7.08369075412366e-08,4.26100601260743e-06
Eif6,0.693783514935245,7.28011159713981e-08,4.36211822896326e-06
Rab32,1.44608418535759,7.31083746215015e-08,4.36354984804846e-06
Serpina3h,3.76804583949012,8.23112223798823e-08,4.88724603894525e-06
Cxcr4,-4.33475568133799,8.25173043785808e-08,4.88724603894525e-06
Parp12,2.06276196103334,9.12018052967824e-08,5.38090651251016e-06
Nlrc5,3.39998880177303,9.220991347575e-08,5.40712011368737e-06
Tapbpl,1.4063754667396,9.23483726150905e-08,5.40712011368737e-06
Mmp13,2.43748778506362,9.90031244616191e-08,5.77480724842603e-06
Il18rap,2.21724065561244,1.02543381729966e-07,5.95873786890473e-06
Zfp503,-1.13391721367619,1.08911692073475e-07,6.30500430917086e-06
Adamts4,1.25740770965694,1.17198850687225e-07,6.74961276258005e-06
Stat1,2.06033673862251,1.17468421350182e-07,6.74961276258005e-06
Tor3a,1.94881339203135,1.20695859126444e-07,6.90927708062493e-06
Psma6,0.666140061551913,1.24098327224066e-07,7.07774126267924e-06
B4galt5,0.944043515425172,1.33969092226662e-07,7.58452224705283e-06
Hivep1,1.13372724439785,1.33891643980933e-07,7.58452224705283e-06
Ppp1r12b,0.970701942187774,1.43087604968479e-07,8.07108435498024e-06
H2-T10,3.04504701321953,1.57658032756134e-07,8.86049651975076e-06
Nhs,1.73371308683907,1.6146244324076e-07,9.04130968532533e-06
Lpar3,2.55924791072356,1.99675826680054e-07,1.11406088950947e-05
Tnfrsf9,2.58921350406287,2.05321432902393e-07,1.14142409576316e-05
Gpr68,1.84918523426146,2.08616029314281e-07,1.15556771057936e-05
Psmb8,2.95775042921645,2.14318155824432e-07,1.18289795037291e-05
Samd9l,2.55371480456611,2.26160232109471e-07,1.24198280706697e-05
Wscd2,-2.56171179921512,2.26636254812532e-07,1.24198280706697e-05
Pnpla3,2.87353369990884,2.27969563180127e-07,1.24485932745063e-05
Pim1,1.97064939918451,2.49374606880386e-07,1.35693271072476e-05
Hivep3,2.53249618827766,2.56738186805438e-07,1.39208145725949e-05
Chil1,3.73528022686136,2.71750432636059e-07,1.46831049549567e-05
Kcne4,-1.86027847600526,2.80929198077458e-07,1.51259745496321e-05
Phlda1,1.26737429112986,2.98611846490428e-07,1.60220342303349e-05
Egln3,0.981336393171406,3.06084918320174e-07,1.63229794968987e-05
Psme2,1.4097426279156,3.06340741256167e-07,1.63229794968987e-05
Trex1,2.03682240034082,3.08223758358203e-07,1.63666815688206e-05
Atl1,-0.637516248429566,3.33379839866425e-07,1.76416362683955e-05
Il15ra,2.57039697235599,3.4038658826197e-07,1.79507297008427e-05
Sp100,2.52672224141224,3.44877016440243e-07,1.80838935627316e-05
Ablim2,2.14481331634282,3.45260387521469e-07,1.80838935627316e-05
