gene,log2FC,pvalue,adjusted_pvalue
Gprin1,0.66971596530254,0.0019365869006031,0.0122963128989865
Thap3,-0.388218892634505,0.0019373525421933,0.0122971503855805
Gng8,-0.372769451471465,0.0019480817322841,0.0123612092652847
Gm15443,-0.381379513908993,0.0019488015900511,0.0123617345712167
Tmem104,-0.399561500034746,0.0019500884744031,0.0123658551494508
Eml5,0.523814348763067,0.0019559071283479,0.0123987003980609
Dzip1l,-0.436970032827133,0.0019676239305674,0.0124665500533165
Zscan2,-0.498604860654671,0.0019678954243098,0.0124665500533165
Fcgr4,0.437841064626785,0.0019764816973889,0.012516857329026
Nudt13,0.317873136032268,0.0019874890207577,0.0125824590403863
Gm15612,-0.999435589960207,0.001993321208767,0.0126152657321971
C030014I23Rik,-0.380815179245617,0.0019984139892397,0.0126433730183266
St3gal5,0.252043070101613,0.0020042413213506,0.0126761077573296
Ubtd2,0.67892321842031,0.0020102228833008,0.0127097962944182
Gar1,0.380589422217935,0.0020188487306708,0.0127554436712132
Gm16267,1.55824271258217,0.0020196585535806,0.0127554436712132
Klhl26,-0.376833781431082,0.0020201660268078,0.0127554436712132
Neurl2,-0.653557989957781,0.0020207294292573,0.0127554436712132
Pkp1,1.14295828878199,0.0020201172110073,0.0127554436712132
Mdm4-ps,0.322077557045808,0.0020316761374179,0.0128203719578728
Slit1,-0.646899498469333,0.0020366146340573,0.0128473570738781
Med1,0.283224722754445,0.0020400733343835,0.0128649928438017
Aqp5,-0.625144453200954,0.0020418792238153,0.0128721976799585
Cdkn2c,-0.549530777017177,0.002049261000948,0.0129145373375755
Fadd,0.2260560647771,0.0020520510130909,0.0129279213824729
Abca8a,-0.644389219029036,0.0020542516364961,0.012937584795382
Ar,-0.611465566085087,0.0020589133917619,0.0129627370064075
Htr2a,1.4296009580414,0.0020669785666795,0.0130092935802303
Eif4enif1,0.189460586756485,0.0020677824192215,0.0130101329645184
Atf7ip2,-0.765092554348834,0.002068694274728,0.0130116511205261
Zfp248,-0.539426918373275,0.0020763719654778,0.0130557101808597
Parvg,-0.777594411559129,0.0020772060029971,0.0130567234474108
Rreb1,-0.376882014812706,0.0020909273045734,0.0131387154850853
C2,0.542525683787975,0.0020977830970921,0.0131775277487782
Adap2,0.385125593288083,0.0021054876282689,0.0132216446404306
Cdon,-0.537185810706433,0.002114862031718,0.0132762157435967
Kif26b,-0.397795934343285,0.002119828037647,0.0133030864303049
Fam83a,1.10697316319977,0.0021483888828011,0.0134779624577673
Ptgfr,-0.66258772064076,0.0021584326951551,0.0135365959976697
2610507I01Rik,-0.554654189132648,0.0021700170673462,0.0136048501372493
Peak1,-0.58596717861892,0.0021799893779093,0.0136629566824783
D330045A20Rik,-0.747495188954352,0.0021894058842264,0.0137175433572908
Stac,-1.5954939669196,0.0021920232022272,0.0137295087850281
4933411K16Rik,-0.933218121166837,0.0021983984644913,0.0137649963875412
Tnfaip8,0.912082589934731,0.0022041243651462,0.013796396510096
Mvp,0.577931617616534,0.0022087185388364,0.0138206947847737
Agpat9,-0.624799512224606,0.0022205748897844,0.0138859281860705
Gnl2,0.272897569976658,0.0022200497346969,0.0138859281860705
Ogfod2,-0.383354995007288,0.0022251820655534,0.0139102554123706
Epb4.1l4b,-0.483985554467958,0.002229578417164,0.0139332494707414
Pak4,0.355890172359328,0.0022333832781769,0.0139525335253527
Gm15743,-1.38796831225128,0.0022343009613985,0.0139537740119011
Slc28a2,1.89816053549202,0.0022358821681603,0.0139591562390551
Fam65b,-0.786835169750818,0.0022483318968218,0.0140323680044808
Dlx2,-1.35110010043989,0.0022509612512053,0.0140442611313146
Fbrs,0.386547545558652,0.0022754652079997,0.0141835039481186
Hr,-0.495186924486974,0.0022741226024339,0.0141835039481186
Pdgfa,0.38258128082907,0.0022754714383886,0.0141835039481186
Ssc5d,-0.323641430893231,0.0022774731928574,0.0141914225543373
Mapk9,0.152931846144309,0.0022931516531192,0.0142845311965094
Usp20,-0.352183572182157,0.0022950740408532,0.0142873329126459
Zfp821,-0.346249232509009,0.0022945417455065,0.0142873329126459
Fgf18,-1.24421578201974,0.0022986323200087,0.0143048946560135
1190002N15Rik,-0.995428096285787,0.0023020575405684,0.0143216173508146
Angptl2,-0.240222560263598,0.0023052790979578,0.014337062697684
Atp5g1,-0.258480094334131,0.0023159429239201,0.0143987685023217
Firre,-0.264211400170216,0.0023185248111647,0.0144102035348626
Gm5124,-0.61852966481094,0.0023261846019124,0.014453181561162
Peo1,-0.24615341585332,0.0023287380717296,0.0144644153469405
Itgb2,-0.269623136796123,0.0023370472818212,0.0145113809460672
1110054M08Rik,-0.477483212571456,0.0023461740035043,0.0145614365170993
2810408A11Rik,-0.586922546211271,0.0023466095644696,0.0145614365170993
Akap10,-0.213517738099053,0.0023479214075824,0.014564919115323
Cdca4,0.214698700271804,0.0023507055305194,0.0145775295986576
Gm4793,-1.25984680793226,0.0023577868716374,0.0146167720310709
Mterf2,-0.283840225610762,0.0023712986022304,0.0146958409701947
Fcgr3,-1.23627930373278,0.0023750361199177,0.0147143042371916
Tmem86a,-0.188237179028225,0.0023759570469721,0.014715311375502
Gm7976,0.499017140660591,0.0023778200760762,0.0147174547866612
Rnf38,-0.181970407250093,0.002377277278161,0.0147174547866612
Zfp418,-0.369108144919664,0.0023796245880195,0.0147239271383706
Prkra,-0.277656577215262,0.0023827161596095,0.0147336597708934
Arhgef9,-0.373144351777383,0.0023826785448477,0.0147336597708934
Ercc6,-0.257379551328954,0.0023866250337969,0.0147531290716141
Slc35f6,-0.247130860821375,0.0023946071305907,0.0147977569305679
Lonrf2,-0.384558355138709,0.0023986038190142,0.0148177230435825
Raf1,-0.120236165264866,0.0023993653784238,0.0148177230435825
Hist1h2ac,-0.33097137220949,0.0024183457997809,0.0149301883229238
Sec14l5,-0.944618209839307,0.002422375759216,0.0149503114605053
Sgtb,-0.244445298827945,0.0024380612057098,0.0150423337474064
Gm10478,0.812802073429972,0.002445724713877,0.0150848195639131
Fgd6,0.812514267187796,0.0024597263682673,0.0151615408036404
Tox,-1.30783852307397,0.0024595846764239,0.0151615408036404
1700071M16Rik,-1.14152530554031,0.0024609454170374,0.015164237812701
Idua,-0.215714467474577,0.0024633084485738,0.0151739800432151
